序号	分级	字	繁体字	异体字	汉语拼音	笔画数	笔画分组	通用字分组	简化字总表（1986版）
1450	一级	砌			qì,qiè	九画	一	常用字	
1451	一级	砂			shā	九画	一	次常用字	
1452	一级	泵			bèng	九画	一	次常用字	
1453	一级	砚	硯		yàn	九画	一	次常用字	第三表（见）
1454	一级	砍			kǎn	九画	一	常用字	
1455	一级	面	～麵	麪	miàn	九画	一	常用字	第一表（M）
1456	一级	耐			nài	九画	一	常用字	
1457	一级	耍			shuǎ	九画	一	常用字	
1458	一级	牵	牽		qiān	九画	一	常用字	第一表（Q）
1459	一级	鸥	鷗		ōu	九画	一	次常用字	第三表（鸟）、第三表（区）
1460	一级	残	殘		cán	九画	一	常用字	第三表（戋）
1461	一级	殃			yāng	九画	一	常用字	
1462	一级	轴	軸		zhóu	九画	一	次常用字	第三表（车）
1463	一级	轻	輕		qīng	九画	一	常用字	第三表（车）、第三表（【径字边】）
1464	一级	鸦	鴉	鵶	yā	九画	一	常用字	第三表（鸟）
1465	一级	皆			jiē	九画	一	常用字	
1466	一级	韭		韮	jiǔ	九画	丨	次常用字	
1467	一级	背		揹	bèi,bēi	九画	丨	常用字	
1468	一级	战	戰		zhàn	九画	丨	常用字	第一表（Z）
1469	一级	点	點		diǎn	九画	丨	常用字	第一表（D）
1470	一级	虐			nüè	九画	丨	次常用字	
1471	一级	临	臨		lín	九画	丨	常用字	第一表（L）
1472	一级	览	覽		lǎn	九画	丨	常用字	第三表（见）、第三表（【览字头】）
1473	一级	竖	竪	豎	shù	九画	丨	常用字	第三表（【坚字头】）
1474	一级	省			shěng,xǐng	九画	丨	常用字	
1475	一级	削			xiāo,xuē	九画	丨	常用字	
1476	一级	尝	嘗	甞嚐	cháng	九画	丨	常用字	第二表（C）
1477	一级	昧			mèi	九画	丨	次常用字	
1478	一级	盹			dǔn	九画	丨	次常用字	
1479	一级	是		昰	shì	九画	丨	常用字	
1480	一级	盼			pàn	九画	丨	常用字	
1481	一级	眨			zhǎ	九画	丨	常用字	
1482	一级	哇			wā,wa	九画	丨	通用字	
1483	一级	哄		閧鬨	hōng,hǒng,hòng	九画	丨	常用字	
1484	一级	哑	啞		yǎ,yā	九画	丨	常用字	第三表（亚）
1485	一级	显	顯		xiǎn	九画	丨	常用字	第一表（X）
1486	一级	冒		冐	mào,mò	九画	丨	常用字	
1487	一级	映		暎	yìng	九画	丨	常用字	
1488	一级	星			xīng	九画	丨	常用字	
1489	一级	昨			zuó	九画	丨	常用字	
1490	一级	咧			liě,liē,lié,lie	九画	丨	次常用字	
1491	一级	昭			zhāo	九画	丨	次常用字	
1492	一级	畏			wèi	九画	丨	常用字	
1493	一级	趴			pā	九画	丨	常用字	
1494	一级	胃			wèi	九画	丨	常用字	
1495	一级	贵	貴		guì	九画	丨	常用字	第三表（贝）
1496	一级	界			jiè	九画	丨	常用字	
1497	一级	虹			hóng	九画	丨	常用字	
1498	一级	虾	蝦		xiā	九画	丨	常用字	第一表（X）
1499	一级	蚁	蟻		yǐ	九画	丨	常用字	第三表（义）
1500	一级	思			sī,sāi	九画	丨	常用字	
1501	一级	蚂	螞		mǎ,mā,mà	九画	丨	常用字	第三表（马）
1502	一级	虽	雖		suī	九画	丨	常用字	第一表（S）
1503	一级	品			pǐn	九画	丨	常用字	
1504	一级	咽		嚥	yān,yàn,yè	九画	丨	常用字	
1505	一级	骂	駡	傌罵	mà	九画	丨	常用字	第三表（马）
1506	一级	勋	勛	勳	xūn	九画	丨	次常用字	第三表（贝）
1507	一级	哗	嘩	譁	huá,huā	九画	丨	常用字	第三表（华）
1508	一级	咱		倃𠴰偺喒	zán,zá,zǎ	九画	丨	常用字	
1509	一级	响	響		xiǎng	九画	丨	常用字	第一表（X）
1510	一级	哈			hā,hǎ,hà	九画	丨	常用字	
1511	一级	哆			duō	九画	丨	次常用字	
1512	一级	咬		齩	yǎo	九画	丨	常用字	
1513	一级	咳		欬	ké,hāi	九画	丨	常用字	
1514	一级	咪			mī	九画	丨	次常用字	
1515	一级	哪			nǎ,něi,na,né	九画	丨	常用字	
1516	一级	哟	喲		yō,yo	九画	丨	次常用字	第三表（纟）
1517	一级	炭			tàn	九画	丨	常用字	
1518	一级	峡	峽		xiá	九画	丨	常用字	第三表（夹）
1519	一级	罚	罰	罸	fá	九画	丨	常用字	第三表（讠）
1520	一级	贱	賤		jiàn	九画	丨	常用字	第三表（贝）、第三表（戋）
1521	一级	贴	貼		tiē	九画	丨	常用字	第三表（贝）
1522	一级	贻	貽		yí	九画	丨	通用字	第三表（贝）
1523	一级	骨			gǔ,gū	九画	丨	常用字	
1524	一级	幽			yōu	九画	丨	次常用字	
1525	一级	钙	鈣		gài	九画	丿	次常用字	第三表（钅）
1526	一级	钝	鈍		dùn	九画	丿	次常用字	第三表（钅）
1527	一级	钞	鈔		chāo	九画	丿	常用字	第三表（钅）
1528	一级	钟	鍾鐘		zhōng	九画	丿	常用字	第一表（Z）
1529	一级	钢	鋼		gāng,gàng	九画	丿	常用字	第三表（冈）、第三表（钅）
1530	一级	钠	鈉		nà	九画	丿	次常用字	第三表（钅）
1531	一级	钥	鑰		yuè,yào	九画	丿	常用字	第一表（Y）
1532	一级	钦	欽		qīn	九画	丿	次常用字	第三表（钅）
1533	一级	钧	鈞		jūn	九画	丿	次常用字	第三表（钅）
1534	一级	钩	鈎	鉤	gōu	九画	丿	常用字	第三表（钅）
1535	一级	钮	鈕		niǔ	九画	丿	次常用字	第三表（钅）
1536	一级	卸			xiè	九画	丿	常用字	
1537	一级	缸			gāng	九画	丿	常用字	
1538	一级	拜			bài	九画	丿	常用字	
1539	一级	看			kàn,kān	九画	丿	常用字	
1540	一级	矩		榘	jǔ	九画	丿	常用字	
1541	一级	毡	氈	氊	zhān	九画	丿	次常用字	第一表（Z）
1542	一级	氢	氫		qīng	九画	丿	次常用字	第三表（【径字边】）
1543	一级	怎			zěn	九画	丿	常用字	
1544	一级	牲			shēng	九画	丿	常用字	
1545	一级	选	選		xuǎn	九画	丿	常用字	第一表（X）
1546	一级	适	適		shì	九画	丿	常用字	第一表（S）
1547	一级	秒			miǎo	九画	丿	常用字	
1548	一级	香			xiāng	九画	丿	常用字	
1549	一级	种	～種		zhǒng,zhòng,chóng	九画	丿	常用字	第一表（Z）
1550	一级	秋	～鞦	秌𥤚	qiū	九画	丿	常用字	第一表（Q）
1551	一级	科			kē	九画	丿	常用字	
1552	一级	重			zhòng,chóng	九画	丿	常用字	
1553	一级	复	復複		fù	九画	丿	常用字	第一表（F）
1554	一级	竿			gān	九画	丿	常用字	
1555	一级	段			duàn	九画	丿	常用字	
1556	一级	便			biàn,pián	九画	丿	常用字	
1557	一级	俩	倆		liǎng,liǎ	九画	丿	常用字	第三表（两）
1558	一级	贷	貸		dài	九画	丿	常用字	第三表（贝）
1559	一级	顺	順		shùn	九画	丿	常用字	第三表（页）
1560	一级	修		脩	xiū	九画	丿	常用字	
1561	一级	俏			qiào,xiào	九画	丿	次常用字	
1562	一级	保			bǎo	九画	丿	常用字	
1563	一级	促			cù	九画	丿	常用字	
1564	一级	俄			é	九画	丿	次常用字	
1565	一级	俐			lì	九画	丿	次常用字	
1566	一级	侮			wǔ	九画	丿	常用字	
1567	一级	俭	儉		jiǎn	九画	丿	常用字	第三表（佥）
1568	一级	俗			sú	九画	丿	常用字	
1569	一级	俘			fú	九画	丿	常用字	
1570	一级	信			xìn,shēn	九画	丿	常用字	
1571	一级	皇			huáng	九画	丿	常用字	
1572	一级	泉			quán	九画	丿	常用字	
1573	一级	鬼			guǐ	九画	丿	常用字	
1574	一级	侵			qīn	九画	丿	常用字	
1575	一级	禹			yǔ	九画	丿	通用字	
1576	一级	侯			hóu,hòu	九画	丿	次常用字	
1577	一级	追			zhuī,duī	九画	丿	常用字	
1578	一级	俊		㑺儁	jùn	九画	丿	常用字	
1579	一级	盾			dùn	九画	丿	常用字	
1580	一级	待			dài,dāi	九画	丿	常用字	
1581	一级	徊			huái	九画	丿	次常用字	
1582	一级	衍			yǎn	九画	丿	次常用字	
1583	一级	律			lǜ	九画	丿	常用字	
1584	一级	很			hěn	九画	丿	常用字	
1585	一级	须	鬚須		xū	九画	丿	常用字	第一表（X）、第三表（页）
1586	一级	叙		敍敘	xù	九画	丿	常用字	
1587	一级	剑	劍	劒	jiàn	九画	丿	常用字	第三表（佥）
1588	一级	逃			táo	九画	丿	常用字	
1589	一级	食			shí,sì,yì	九画	丿	常用字	
1590	一级	盆			pén	九画	丿	常用字	
1591	一级	胚		肧	pēi	九画	丿	次常用字	
1592	一级	胧	朧		lóng	九画	丿	次常用字	第三表（龙）
1593	一级	胆	膽		dǎn	九画	丿	常用字	第一表（D）
1594	一级	胜	勝		shèng	九画	丿	常用字	第一表（S）
1595	一级	胞			bāo	九画	丿	常用字	
1596	一级	胖			pàng,pán,pàn	九画	丿	常用字	
1597	一级	脉		脈䘑衇	mài,mò	九画	丿	常用字	
1598	一级	胎			tāi	九画	丿	次常用字	
1599	一级	勉			miǎn	九画	丿	常用字	
1600	一级	狭	狹	陿	xiá	九画	丿	常用字	第三表（夹）
1601	一级	狮	獅		shī	九画	丿	常用字	第三表（师）
1602	一级	独	獨		dú	九画	丿	常用字	第一表（D）
1603	一级	狰			zhēng	九画	丿	次常用字	
1604	一级	狡			jiǎo	九画	丿	常用字	
1605	一级	狱	獄		yù	九画	丿	常用字	第三表（讠）
1606	一级	狠			hěn	九画	丿	常用字	
1607	一级	贸	貿		mào	九画	丿	常用字	第三表（贝）
1608	一级	怨			yuàn	九画	丿	常用字	
1609	一级	急			jí	九画	丿	常用字	
1610	一级	饵	餌		ěr	九画	丿	次常用字	第三表（饣）
1611	一级	饶	饒		ráo	九画	丿	常用字	第三表（尧）、第三表（饣）
1612	一级	蚀	蝕		shí	九画	丿	常用字	第三表（饣）
1613	一级	饺	餃		jiǎo	九画	丿	常用字	第三表（饣）
1614	一级	饼	餅		bǐng	九画	丿	常用字	第三表（饣）
1615	一级	峦	巒		luán	九画	丶	次常用字	第三表（【变字头】）
1616	一级	弯	彎		wān	九画	丶	常用字	第三表（【变字头】）
1617	一级	将	將		jiāng,jiàng	九画	丶	常用字	第二表（J）
1618	一级	奖	奬	獎	jiǎng	九画	丶	常用字	第一表（J）
1619	一级	哀			āi	九画	丶	常用字	
1620	一级	亭			tíng	九画	丶	常用字	
1621	一级	亮			liàng	九画	丶	常用字	
1622	一级	度			dù,duó	九画	丶	常用字	
1623	一级	迹		跡蹟	jì	九画	丶	常用字	
1624	一级	庭			tíng	九画	丶	常用字	
1625	一级	疮	瘡		chuāng	九画	丶	常用字	第三表（仓）
1626	一级	疯	瘋		fēng	九画	丶	常用字	第三表（风）
1627	一级	疫			yì	九画	丶	常用字	
1628	一级	疤			bā	九画	丶	常用字	
1629	一级	咨			zī	九画	丶	次常用字	
1630	一级	姿			zī	九画	丶	常用字	
1631	一级	亲	親		qīn,qìng	九画	丶	常用字	第二表（Q）
1632	一级	音			yīn	九画	丶	常用字	
1633	一级	帝			dì	九画	丶	常用字	
1634	一级	施			shī	九画	丶	常用字	
1635	一级	闺	閨		guī	九画	丶	次常用字	第三表（门）
1636	一级	闻	聞		wén	九画	丶	常用字	第三表（门）
1637	一级	闽	閩		mǐn	九画	丶	次常用字	第三表（门）
1638	一级	阀	閥		fá	九画	丶	常用字	第三表（门）
1639	一级	阁	閣	閤	gé	九画	丶	常用字	第三表（门）
1640	一级	差			chà,chā,chāi,cī	九画	丶	常用字	
1641	一级	养	養		yǎng	九画	丶	常用字	第一表（Y）
1642	一级	美			měi	九画	丶	常用字	
1643	一级	姜	～薑		jiāng	九画	丶	常用字	第一表（J）
1644	一级	叛			pàn	九画	丶	常用字	
1645	一级	送			sòng	九画	丶	常用字	
1646	一级	类	類		lèi	九画	丶	常用字	第一表（L）
1647	一级	迷			mí	九画	丶	常用字	
1648	一级	籽			zǐ	九画	丶	次常用字	
1649	一级	娄	婁		lóu	九画	丶	次常用字	第二表（L）
1650	一级	前			qián	九画	丶	常用字	
1651	一级	首			shǒu	九画	丶	常用字	
1652	一级	逆			nì	九画	丶	常用字	
1653	一级	兹			zī,cí	九画	丶	通用字	
1654	一级	总	總		zǒng	九画	丶	常用字	第一表（Z）
1655	一级	炼	煉	鍊	liàn	九画	丶	常用字	第一表（L）
1656	一级	炸			zhà,zhá	九画	丶	常用字	
1657	一级	烁	爍		shuò	九画	丶	次常用字	第三表（乐）
1658	一级	炮		砲礮	páo,bāo,pào	九画	丶	常用字	
1659	一级	炫			xuàn	九画	丶	次常用字	
1660	一级	烂	爛		làn	九画	丶	常用字	第一表（L）
1661	一级	剃		薙鬀	tì	九画	丶	常用字	
1662	一级	洼	窪		wā	九画	丶	次常用字	第一表（W）
1663	一级	洁	潔	絜	jié	九画	丶	常用字	第一表（J）
1664	一级	洪			hóng	九画	丶	常用字	
1665	一级	洒	灑		sǎ,xǐ	九画	丶	常用字	第一表（S）
1666	一级	柒			qī	九画	丶	次常用字	
1667	一级	浇	澆		jiāo	九画	丶	常用字	第三表（尧）
1668	一级	浊	濁		zhuó	九画	丶	常用字	第一表（Z）
1669	一级	洞			dòng	九画	丶	常用字	
1670	一级	测	測		cè	九画	丶	常用字	第三表（贝）
1671	一级	洗			xǐ,xiǎn	九画	丶	常用字	
1672	一级	活			huó	九画	丶	常用字	
1673	一级	派			pài	九画	丶	常用字	
1674	一级	洽			qià	九画	丶	常用字	
1675	一级	染			rǎn	九画	丶	常用字	
1676	一级	洛			luò	九画	丶	次常用字	
1677	一级	浏	瀏		liú	九画	丶	通用字	第三表（刘）
1678	一级	济	濟		jì,jǐ	九画	丶	常用字	第三表（齐）
1679	一级	洋			yáng	九画	丶	常用字	
1680	一级	洲			zhōu	九画	丶	常用字	
1681	一级	浑	渾		hún	九画	丶	常用字	第三表（车）
1682	一级	浓	濃		nóng	九画	丶	常用字	第三表（农）
1683	一级	津			jīn	九画	丶	常用字	
1684	一级	恃			shì	九画	丶	次常用字	
1685	一级	恒		恆	héng	九画	丶	常用字	
1686	一级	恢			huī	九画	丶	常用字	
1687	一级	恍		怳	huǎng	九画	丶	次常用字	
1688	一级	恬			tián	九画	丶	次常用字	
1689	一级	恤		卹䘏賉	xù	九画	丶	次常用字	
1690	一级	恰			qià	九画	丶	常用字	
1691	一级	恼	惱		nǎo	九画	丶	常用字	第一表（N）
1692	一级	恨			hèn	九画	丶	常用字	
1693	一级	举	舉	擧	jǔ	九画	丶	常用字	第二表（J）
1694	一级	觉	覺		jué,jiào	九画	丶	常用字	第三表（见）、第三表（【学字头】）
1695	一级	宣			xuān	九画	丶	常用字	
1696	一级	宦			huàn	九画	丶	次常用字	
1697	一级	室			shì	九画	丶	常用字	
1698	一级	宫			gōng	九画	丶	常用字	
1699	一级	宪	憲		xiàn	九画	丶	常用字	第一表（X）
1700	一级	突			tū	九画	丶	常用字	
1701	一级	穿			chuān	九画	丶	常用字	
1702	一级	窃	竊		qiè	九画	丶	常用字	第一表（Q）
1703	一级	客			kè	九画	丶	常用字	
1704	一级	诫	誡		jiè	九画	丶	次常用字	第三表（讠）
1705	一级	冠			guān,guàn	九画	丶	常用字	
1706	一级	诬	誣		wū	九画	丶	次常用字	第三表（讠）
1707	一级	语	語		yǔ,yù	九画	丶	常用字	第三表（讠）
1708	一级	扁			biǎn,piān	九画	丶	常用字	
1709	一级	袄	襖		ǎo	九画	丶	常用字	第一表（A）
1710	一级	祖			zǔ	九画	丶	常用字	
1711	一级	神			shén	九画	丶	常用字	
1712	一级	祝			zhù	九画	丶	常用字	
1713	一级	祠			cí	九画	丶	次常用字	
1714	一级	误	誤		wù	九画	丶	常用字	第三表（讠）
1715	一级	诱	誘		yòu	九画	丶	常用字	第三表（讠）
1716	一级	诲	誨		huì	九画	丶	次常用字	第三表（讠）
1717	一级	说	説		shuō,shuì,yuè	九画	丶	常用字	第三表（讠）
1718	一级	诵	誦		sòng	九画	丶	常用字	第三表（讠）
1719	一级	垦	墾		kěn	九画	乛	常用字	第一表（K）
1720	一级	退			tuì	九画	乛	常用字	
1721	一级	既			jì	九画	乛	常用字	
1722	一级	屋			wū	九画	乛	常用字	
1723	一级	昼	晝		zhòu	九画	乛	常用字	第一表（Z）
1724	一级	屏			píng,bǐng	九画	乛	次常用字	
1725	一级	屎			shǐ	九画	乛	次常用字	
1726	一级	费	費		fèi	九画	乛	常用字	第三表（贝）
1727	一级	陡			dǒu	九画	乛	常用字	
1728	一级	逊	遜		xùn	九画	乛	次常用字	第三表（孙）
1729	一级	眉			méi	九画	乛	常用字	
1730	一级	孩			hái	九画	乛	常用字	
1731	一级	陨	隕		yǔn	九画	乛	次常用字	第三表（贝）
1732	一级	除			chú	九画	乛	常用字	
1733	一级	险	險		xiǎn	九画	乛	常用字	第三表（佥）
1734	一级	院			yuàn	九画	乛	常用字	
1735	一级	娃			wá	九画	乛	常用字	
1736	一级	姥			mǔ,lǎo	九画	乛	常用字	
1737	一级	姨			yí	九画	乛	常用字	
1738	一级	姻		婣	yīn	九画	乛	常用字	
1739	一级	娇	嬌		jiāo	九画	乛	常用字	第三表（乔）
1740	一级	姚			yáo	九画	乛	次常用字	
1741	一级	娜			nà,nuó	九画	乛	次常用字	
1742	一级	怒			nù	九画	乛	常用字	
1743	一级	架			jià	九画	乛	常用字	
1744	一级	贺	賀		hè	九画	乛	常用字	第三表（贝）
1745	一级	盈			yíng	九画	乛	常用字	
1746	一级	勇			yǒng	九画	乛	常用字	
1747	一级	怠			dài	九画	乛	常用字	
1748	一级	癸			guǐ	九画	乛	通用字	
1749	一级	蚤			zǎo	九画	乛	次常用字	
1750	一级	柔			róu	九画	乛	常用字	
1751	一级	垒	壘		lěi	九画	乛	常用字	第一表（L）
1752	一级	绑	綁		bǎng	九画	乛	常用字	第三表（纟）
1753	一级	绒	絨	毧羢	róng	九画	乛	常用字	第三表（纟）
1754	一级	结	結		jié,jiē	九画	乛	常用字	第三表（纟）
1755	一级	绕	繞	遶	rào	九画	乛	常用字	第三表（尧）、第三表（纟）
1756	一级	骄	驕		jiāo	九画	乛	常用字	第三表（马）、第三表（乔）
1757	一级	绘	繪		huì	九画	乛	常用字	第三表（会）、第三表（纟）
1758	一级	给	給		gěi,jǐ	九画	乛	常用字	第三表（纟）
1759	一级	绚	絢		xuàn	九画	乛	通用字	第三表（纟）
1760	一级	骆	駱		luò	九画	乛	常用字	第三表（马）
1761	一级	络	絡		luò,lào	九画	乛	常用字	第三表（纟）
1762	一级	绝	絶		jué	九画	乛	常用字	第三表（纟）
1763	一级	绞	絞		jiǎo	九画	乛	常用字	第三表（纟）
1764	一级	骇	駭		hài	九画	乛	次常用字	第三表（马）
1765	一级	统	統		tǒng	九画	乛	常用字	第三表（纟）
1766	一级	耕		畊	gēng	十画	一	常用字	
1767	一级	耘			yún	十画	一	次常用字	
1768	一级	耗			hào	十画	一	常用字	
1769	一级	耙			bà,pá	十画	一	次常用字	
1770	一级	艳	艷	豓豔	yàn	十画	一	常用字	第三表（丰）
1771	一级	泰			tài	十画	一	常用字	
1772	一级	秦			qín	十画	一	次常用字	
1773	一级	珠			zhū	十画	一	常用字	
1774	一级	班			bān	十画	一	常用字	
1775	一级	素			sù	十画	一	常用字	
1776	一级	匿			nì	十画	一	次常用字	
1777	一级	蚕	蠶		cán	十画	一	常用字	第一表（C）
1778	一级	顽	頑		wán	十画	一	常用字	第三表（页）
1779	一级	盏	盞	琖醆	zhǎn	十画	一	常用字	第三表（戋）
1780	一级	匪			fěi	十画	一	常用字	
1781	一级	捞	撈		lāo	十画	一	常用字	第三表（【劳字头】）
1782	一级	栽			zāi	十画	一	常用字	
1783	一级	捕			bǔ	十画	一	常用字	
1784	一级	埂			gěng	十画	一	次常用字	
1785	一级	捂			wǔ	十画	一	次常用字	
1786	一级	振			zhèn	十画	一	常用字	
1787	一级	载	載		zǎi,zài	十画	一	常用字	第三表（车）
1788	一级	赶	趕		gǎn	十画	一	常用字	第一表（G）
1789	一级	起			qǐ	十画	一	常用字	
1790	一级	盐	鹽		yán	十画	一	常用字	第一表（Y）
1791	一级	捎			shāo,shào	十画	一	常用字	
1792	一级	捍		扞	hàn	十画	一	次常用字	
1793	一级	捏		揑	niē	十画	一	常用字	
1794	一级	埋			mái,mán	十画	一	常用字	
1795	一级	捉			zhuō	十画	一	常用字	
1796	一级	捆		綑	kǔn	十画	一	常用字	
1797	一级	捐			juān	十画	一	常用字	
1798	一级	损	損		sǔn	十画	一	常用字	第三表（贝）
1799	一级	袁			yuán	十画	一	次常用字	
1800	一级	捌			bā	十画	一	次常用字	
1801	一级	都			dū,dōu	十画	一	常用字	
1802	一级	哲		喆	zhé	十画	一	常用字	
1803	一级	逝			shì	十画	一	常用字	
1804	一级	捡	撿		jiǎn	十画	一	常用字	第三表（佥）
1805	一级	挫			cuò	十画	一	次常用字	
1806	一级	换			huàn	十画	一	常用字	
1807	一级	挽		輓	wǎn	十画	一	常用字	
1808	一级	挚	摯		zhì	十画	一	次常用字	第三表（执）
1809	一级	热	熱		rè	十画	一	常用字	第一表（R）
1810	一级	恐			kǒng	十画	一	常用字	
1811	一级	捣	搗	𢷬擣	dǎo	十画	一	次常用字	第三表（鸟）
1812	一级	壶	壺		hú	十画	一	常用字	第一表（H）
1813	一级	捅			tǒng	十画	一	次常用字	
1814	一级	埃			āi	十画	一	次常用字	
1815	一级	挨			āi,ái	十画	一	常用字	
1816	一级	耻		恥	chǐ	十画	一	常用字	
1817	一级	耿			gěng	十画	一	次常用字	
1818	一级	耽		躭	dān	十画	一	常用字	
1819	一级	聂	聶		niè	十画	一	次常用字	第二表（N）
1820	一级	恭			gōng	十画	一	常用字	
1821	一级	莽			mǎng	十画	一	次常用字	
1822	一级	莱	萊		lái	十画	一	次常用字	第三表（来）
1823	一级	莲	蓮		lián	十画	一	常用字	第三表（车）
1824	一级	莫			mò,mù	十画	一	常用字	
1825	一级	莉			lì	十画	一	次常用字	
1826	一级	荷			hé	十画	一	常用字	
1827	一级	获	獲穫		huò	十画	一	常用字	第一表（H）
1828	一级	晋		晉	jìn	十画	一	常用字	
1829	一级	恶	惡噁		è,wù,ě,wū	十画	一	常用字	第三表（亚）
1830	一级	莹	瑩		yíng	十画	一	次常用字	第三表（【劳字头】）
1831	一级	莺	鶯	鸎	yīng	十画	一	次常用字	第三表（鸟）、第三表（【劳字头】）
1832	一级	真			zhēn	十画	一	常用字	
1833	一级	框			kuàng	十画	一	常用字	
1834	一级	梆			bāng	十画	一	次常用字	
1835	一级	桂			guì	十画	一	常用字	
1836	一级	桔			jié,jú	十画	一	通用字	
1837	一级	栖		棲	qī,xī	十画	一	次常用字	
1838	一级	档	檔		dàng	十画	一	常用字	第三表（当）
1839	一级	桐			tóng	十画	一	常用字	
1840	一级	株			zhū	十画	一	常用字	
1841	一级	桥	橋		qiáo	十画	一	常用字	第三表（乔）
1842	一级	桦	樺		huà	十画	一	次常用字	第三表（华）
1843	一级	栓			shuān	十画	一	次常用字	
1844	一级	桃			táo	十画	一	常用字	
1845	一级	格			gé	十画	一	常用字	
1846	一级	桩	樁		zhuāng	十画	一	次常用字	第一表（Z）
1847	一级	校			xiào,jiào	十画	一	常用字	
1848	一级	核		覈	hé,hú	十画	一	常用字	
1849	一级	样	樣		yàng	十画	一	常用字	第一表（Y）
1850	一级	根			gēn	十画	一	常用字	
1851	一级	索			suǒ	十画	一	常用字	
1852	一级	哥			gē	十画	一	常用字	
1853	一级	速			sù	十画	一	常用字	
1854	一级	逗			dòu	十画	一	常用字	
1855	一级	栗		慄	lì	十画	一	常用字	
1856	一级	贾	賈		gǔ,jiǎ	十画	一	次常用字	第三表（贝）
1857	一级	酌			zhuó	十画	一	次常用字	
1858	一级	配			pèi	十画	一	常用字	
1859	一级	翅		翄	chì	十画	一	常用字	
1860	一级	辱			rǔ	十画	一	常用字	
1861	一级	唇		脣	chún	十画	一	常用字	
1862	一级	夏			xià	十画	一	常用字	
1863	一级	砸			zá	十画	一	次常用字	
1864	一级	砰			pēng	十画	一	次常用字	
1865	一级	砾	礫		lì	十画	一	次常用字	第三表（乐）
1866	一级	础	礎		chǔ	十画	一	常用字	第一表（C）
1867	一级	破			pò	十画	一	常用字	
1868	一级	原			yuán	十画	一	常用字	
1869	一级	套			tào	十画	一	常用字	
1870	一级	逐			zhú	十画	一	常用字	
1871	一级	烈			liè	十画	一	常用字	
1872	一级	殊			shū	十画	一	常用字	
1873	一级	殉			xùn	十画	一	次常用字	
1874	一级	顾	顧		gù	十画	一	常用字	第一表（G）
1875	一级	轿	轎		jiào	十画	一	常用字	第三表（车）、第三表（乔）
1876	一级	较	較		jiào	十画	一	常用字	第三表（车）
1877	一级	顿	頓		dùn	十画	一	常用字	第三表（页）
1878	一级	毙	斃	獘	bì	十画	一	常用字	第一表（B）
1879	一级	致	～緻		zhì	十画	一	常用字	第一表（Z）
1880	一级	柴			chái	十画	丨	常用字	
1881	一级	桌		槕	zhuō	十画	丨	常用字	
1882	一级	虑	慮		lǜ	十画	丨	常用字	第二表（L）
1883	一级	监	監		jiān,jiàn	十画	丨	常用字	第二表（J）
1884	一级	紧	緊	𦂳𦃂	jǐn	十画	丨	常用字	第三表（【坚字头】）
1885	一级	党	～黨		dǎng	十画	丨	常用字	第二表（D）
1886	一级	逞			chěng	十画	丨	次常用字	
1887	一级	晒	曬		shài	十画	丨	常用字	第一表（S）
1888	一级	眠			mián	十画	丨	常用字	
1889	一级	晓	曉		xiǎo	十画	丨	常用字	第三表（尧）
1890	一级	哮			xiào	十画	丨	次常用字	
1891	一级	唠	嘮		lào,láo	十画	丨	次常用字	第三表（【劳字头】）
1892	一级	鸭	鴨		yā	十画	丨	常用字	第三表（鸟）
1893	一级	晃		㨪	huǎng,huàng	十画	丨	常用字	
1894	一级	哺			bǔ	十画	丨	次常用字	
1895	一级	晌			shǎng	十画	丨	常用字	
1896	一级	剔			tī	十画	丨	次常用字	
1897	一级	晕	暈		yùn,yūn	十画	丨	常用字	第三表（车）
1898	一级	蚌			bàng,bèng	十画	丨	次常用字	
1899	一级	畔			pàn	十画	丨	次常用字	
1900	一级	蚣			gōng,zhōng	十画	丨	次常用字	
1901	一级	蚊		螡蟁	wén	十画	丨	常用字	
1902	一级	蚪			dǒu	十画	丨	次常用字	
1903	一级	蚓			yǐn	十画	丨	次常用字	
1904	一级	哨			shào	十画	丨	常用字	
1905	一级	哩			li,lǐ,lī	十画	丨	次常用字	
1906	一级	圃			pǔ	十画	丨	次常用字	
1907	一级	哭			kū	十画	丨	常用字	
1908	一级	哦			ó,ò,é	十画	丨	通用字	
1909	一级	恩		㤙	ēn	十画	丨	常用字	
1910	一级	鸯	鴦		yāng	十画	丨	次常用字	第三表（鸟）
1911	一级	唤			huàn	十画	丨	常用字	
1912	一级	唁			yàn	十画	丨	次常用字	
1913	一级	哼			hēng,hng	十画	丨	次常用字	
1914	一级	唧			jī	十画	丨	次常用字	
1915	一级	啊			ā,á,ǎ,à,a	十画	丨	常用字	
1916	一级	唉			āi,ài	十画	丨	常用字	
1917	一级	唆			suō	十画	丨	次常用字	
1918	一级	罢	罷		bà,ba,pí	十画	丨	常用字	第二表（B）
1919	一级	峭		陗	qiào	十画	丨	次常用字	
1920	一级	峨		峩	é	十画	丨	通用字	
1921	一级	峰		峯	fēng	十画	丨	常用字	
1922	一级	圆	圓		yuán	十画	丨	常用字	第三表（贝）
1923	一级	峻			jùn	十画	丨	次常用字	
1924	一级	贼	賊		zéi	十画	丨	常用字	第三表（贝）
1925	一级	贿	賄		huì	十画	丨	常用字	第三表（贝）
1926	一级	赂	賂		lù	十画	丨	次常用字	第三表（贝）
1927	一级	赃	贜		zāng	十画	丨	次常用字	第一表（Z）
